"loss","profit","macd_level","target_stability","balance"
"0.007","0.01","0.1","1","836.0"
"0.007","0.01","0.1","2","836.0"
"0.007","0.01","0.1","3","836.0"
"0.007","0.01","0.1","4","836.0"
"0.007","0.01","0.1","6","836.0"
"0.007","0.01","0.15","0","740.0"
"0.007","0.01","0.15","1","836.0"
"0.007","0.01","0.15","2","836.0"
"0.007","0.01","0.15","3","836.0"
"0.007","0.01","0.15","4","836.0"
"0.007","0.01","0.15","6","836.0"
"0.007","0.01","0.2","0","588.0"
"0.007","0.01","0.2","1","684.0"
"0.007","0.01","0.2","2","684.0"
"0.007","0.01","0.2","3","684.0"
"0.007","0.01","0.2","4","684.0"
"0.007","0.01","0.2","6","684.0"
"0.007","0.01","0.25","0","498.0"
"0.007","0.01","0.25","1","594.0"
"0.007","0.01","0.25","2","594.0"
"0.007","0.01","0.25","3","594.0"
"0.007","0.01","0.25","4","594.0"
"0.007","0.01","0.25","6","594.0"
"0.007","0.01","0.3","0","498.0"
"0.007","0.01","0.3","1","594.0"
"0.007","0.01","0.3","2","594.0"
"0.007","0.01","0.3","3","594.0"
"0.007","0.01","0.3","4","594.0"
"0.007","0.01","0.3","6","594.0"
"0.007","0.01","0.35","0","460.0"
"0.007","0.01","0.35","1","556.0"
"0.007","0.01","0.35","2","556.0"
"0.007","0.01","0.35","3","556.0"
"0.007","0.01","0.35","4","556.0"
"0.007","0.01","0.35","6","556.0"
"0.007","0.01","0.4","0","535.0"
"0.007","0.01","0.4","1","134.0"
"0.007","0.01","0.4","2","134.0"
"0.007","0.01","0.4","3","134.0"
"0.007","0.01","0.4","4","134.0"
"0.007","0.01","0.4","6","134.0"
"0.007","0.01","0.45","0","-39.0"
"0.007","0.01","0.45","1","134.0"
"0.007","0.01","0.45","2","134.0"
"0.007","0.01","0.45","3","134.0"
"0.007","0.01","0.45","4","134.0"
"0.007","0.01","0.45","6","134.0"
"0.007","0.01","0.5","0","210.0"
"0.007","0.01","0.5","1","-16.0"
"0.007","0.01","0.5","2","-16.0"
"0.007","0.01","0.5","3","-16.0"
"0.007","0.01","0.5","4","-16.0"
"0.007","0.01","0.5","6","-16.0"
"0.008","0.01","0.05","0","363.0"
"0.008","0.01","0.05","1","638.0"
"0.008","0.01","0.05","2","638.0"
"0.008","0.01","0.05","3","638.0"
"0.008","0.01","0.05","4","638.0"
"0.008","0.01","0.05","6","638.0"
"0.008","0.01","0.1","0","571.0"
"0.008","0.01","0.1","1","722.0"
"0.008","0.01","0.1","2","722.0"
"0.008","0.01","0.1","3","722.0"
"0.008","0.01","0.1","4","722.0"
"0.008","0.01","0.1","6","722.0"
"0.008","0.01","0.15","0","571.0"
"0.008","0.01","0.15","1","722.0"
"0.008","0.01","0.15","2","722.0"
"0.008","0.01","0.15","3","722.0"
"0.008","0.01","0.15","4","722.0"
"0.008","0.01","0.15","6","722.0"
"0.008","0.01","0.2","0","419.0"
"0.008","0.01","0.2","1","570.0"
"0.008","0.01","0.2","2","570.0"
"0.008","0.01","0.2","3","570.0"
"0.008","0.01","0.2","4","570.0"
"0.008","0.01","0.2","6","570.0"
"0.008","0.01","0.25","0","329.0"
"0.008","0.01","0.25","1","480.0"
"0.008","0.01","0.25","2","480.0"
"0.008","0.01","0.25","3","480.0"
"0.008","0.01","0.25","4","480.0"
"0.008","0.01","0.25","6","480.0"
"0.008","0.01","0.3","0","329.0"
"0.008","0.01","0.3","1","480.0"
"0.008","0.01","0.3","2","480.0"
"0.008","0.01","0.3","3","480.0"
"0.008","0.01","0.3","4","480.0"
"0.008","0.01","0.3","6","480.0"
"0.008","0.01","0.35","0","291.0"
"0.008","0.01","0.35","1","442.0"
"0.008","0.01","0.35","2","442.0"
"0.008","0.01","0.35","3","442.0"
"0.008","0.01","0.35","4","442.0"
"0.008","0.01","0.35","6","442.0"
"0.008","0.01","0.4","0","365.0"
"0.008","0.01","0.4","1","20.0"
"0.008","0.01","0.4","2","20.0"
"0.008","0.01","0.4","3","20.0"
"0.008","0.01","0.4","4","20.0"
"0.008","0.01","0.4","6","20.0"
"0.008","0.01","0.45","0","247.0"
"0.008","0.01","0.45","1","20.0"
"0.008","0.01","0.45","2","20.0"
"0.008","0.01","0.45","3","20.0"
"0.008","0.01","0.45","4","20.0"
"0.008","0.01","0.45","6","20.0"
"0.008","0.01","0.5","0","97.0"
"0.008","0.01","0.5","1","-130.0"
"0.008","0.01","0.5","2","-130.0"
"0.008","0.01","0.5","3","-130.0"
"0.008","0.01","0.5","4","-130.0"
"0.008","0.01","0.5","6","-130.0"
"0.009","0.01","0.05","0","192.0"
"0.009","0.01","0.05","1","525.0"
"0.009","0.01","0.05","2","525.0"
"0.009","0.01","0.05","3","525.0"
"0.009","0.01","0.05","4","525.0"
"0.009","0.01","0.05","6","525.0"
"0.009","0.01","0.1","0","400.0"
"0.009","0.01","0.1","1","609.0"
"0.009","0.01","0.1","2","609.0"
"0.009","0.01","0.1","3","609.0"
"0.009","0.01","0.1","4","609.0"
"0.009","0.01","0.1","6","609.0"
"0.009","0.01","0.15","0","400.0"
"0.009","0.01","0.15","1","609.0"
"0.009","0.01","0.15","2","609.0"
"0.009","0.01","0.15","3","609.0"
"0.009","0.01","0.15","4","609.0"
"0.009","0.01","0.15","6","609.0"
