"date","amount","sum","action","price","status","income","balance","source"
"2021-02-15 15:00:00",200,-54046.0,"buy",270.23,"close",0,-52566.28200000001,"strategy"
"2021-02-15 15:00:00",200,53883.862,"sell",269.41931,"close",-162.13800000000447,1317.5799999999945,"stop_loss"
"2021-02-15 16:00:00",200,54138.0,"sell",270.69,"close",0,55455.579999999994,"strategy"
"2021-02-15 20:00:00",200,-54300.414000000004,"buy",271.50207,"close",-162.41400000000112,1155.1659999999902,"stop_loss"
"2021-02-16 07:00:00",200,54462.0,"sell",272.31,"close",0,55617.16599999999,"strategy"
"2021-02-16 13:00:00",200,-54250.0,"buy",271.25,"close",212.00000000000045,1367.1659999999902,"strategy"
"2021-02-16 14:00:00",200,-54240.0,"buy",271.2,"close",0,-52872.83400000001,"strategy"
"2021-02-16 14:00:00",200,54077.28,"sell",270.3864,"close",-162.72000000000162,1204.445999999989,"stop_loss"
"2021-02-16 15:00:00",200,54100.0,"sell",270.5,"close",0,55304.44599999999,"strategy"
"2021-02-16 16:00:00",200,-54200.0,"buy",271.0,"close",-100.0,1104.445999999989,"strategy"
"2021-02-16 17:00:00",200,54064.0,"sell",270.32,"close",0,55168.44599999999,"strategy"
"2021-02-16 18:00:00",200,-54190.0,"buy",270.95,"close",-125.99999999999909,978.445999999989,"strategy"
"2021-02-16 19:00:00",200,-54208.00000000001,"buy",271.04,"close",0,-53229.55400000002,"strategy"
"2021-02-17 07:00:00",200,54184.0,"sell",270.92,"close",-24.00000000000091,954.4459999999817,"strategy"
"2021-02-17 08:00:00",200,54150.0,"sell",270.75,"close",0,55104.44599999998,"strategy"
"2021-02-17 08:00:00",200,-54312.450000000004,"buy",271.56225,"close",-162.45000000000118,791.9959999999774,"stop_loss"
"2021-02-17 09:00:00",200,-54834.0,"buy",274.17,"close",0,-54042.00400000002,"strategy"
"2021-02-17 10:00:00",200,54669.498,"sell",273.34749,"close",-164.5020000000045,627.493999999977,"stop_loss"
"2021-02-17 11:00:00",200,-54679.99999999999,"buy",273.4,"close",0,-54052.506000000016,"strategy"
"2021-02-17 12:00:00",200,54734.0,"sell",273.67,"close",54.00000000000773,681.4939999999842,"strategy"
"2021-02-17 13:00:00",200,-54952.0,"buy",274.76,"close",0,-54270.506000000016,"strategy"
"2021-02-17 13:00:00",200,54787.144,"sell",273.93572,"close",-164.8559999999975,516.6379999999845,"stop_loss"
"2021-02-17 14:00:00",200,54514.0,"sell",272.57,"close",0,55030.637999999984,"strategy"
"2021-02-17 19:00:00",200,-54079.99999999999,"buy",270.4,"close",434.0000000000032,950.6379999999917,"strategy"
"2021-02-17 20:00:00",200,-54094.00000000001,"buy",270.47,"close",0,-53143.362000000016,"strategy"
"2021-02-18 07:00:00",200,53931.718,"sell",269.65859,"close",-162.2820000000047,788.3559999999852,"stop_loss"
"2021-02-18 08:00:00",200,53832.00000000001,"sell",269.16,"close",0,54620.35599999999,"strategy"
"2021-02-18 08:00:00",200,-53993.49600000001,"buy",269.96748,"close",-161.49599999999964,626.859999999986,"stop_loss"
"2021-02-18 09:00:00",200,-54479.99999999999,"buy",272.4,"close",0,-53853.14000000001,"strategy"
"2021-02-18 09:00:00",200,54316.55999999999,"sell",271.58279999999996,"close",-163.44000000000278,463.4199999999837,"stop_loss"
"2021-02-18 10:00:00",200,-54152.0,"buy",270.76,"close",0,-53688.580000000016,"strategy"
"2021-02-18 10:00:00",200,53989.544,"sell",269.94772,"close",-162.4559999999974,300.9639999999854,"stop_loss"
"2021-02-18 11:00:00",200,54022.0,"sell",270.11,"close",0,54322.963999999985,"strategy"
"2021-02-18 12:00:00",200,-54072.0,"buy",270.36,"close",-50.0,250.9639999999854,"strategy"
"2021-02-18 13:00:00",200,-54036.0,"buy",270.18,"close",0,-53785.036000000015,"strategy"
"2021-02-18 13:00:00",200,53873.892,"sell",269.36946,"close",-162.10800000000063,88.85599999998522,"stop_loss"
"2021-02-18 14:00:00",200,53708.00000000001,"sell",268.54,"close",0,53796.85599999999,"strategy"
"2021-02-18 17:00:00",200,-53454.0,"buy",267.27,"close",254.00000000000773,342.8559999999925,"strategy"
"2021-02-18 18:00:00",200,-53460.0,"buy",267.3,"close",0,-53117.14400000001,"strategy"
"2021-02-19 07:00:00",200,53299.62,"sell",266.4981,"close",-160.37999999999784,182.4759999999951,"stop_loss"
"2021-02-19 08:00:00",200,52982.00000000001,"sell",264.91,"close",0,53164.476,"strategy"
"2021-02-19 08:00:00",200,-53140.94600000001,"buy",265.70473000000004,"close",-158.9460000000031,23.52999999999156,"stop_loss"
"2021-02-19 09:00:00",200,-53202.0,"buy",266.01,"close",0,-53178.47000000001,"strategy"
"2021-02-19 14:00:00",200,54266.04,"sell",271.3302,"close",1064.04,1087.5699999999924,"take_profit"
"2021-02-19 15:00:00",200,-54338.0,"buy",271.69,"close",0,-53250.43000000001,"strategy"
"2021-02-19 17:00:00",200,54174.986000000004,"sell",270.87493,"close",-163.0139999999983,924.5559999999969,"stop_loss"
"2021-02-19 18:00:00",200,54072.0,"sell",270.36,"close",0,54996.556,"strategy"
"2021-02-19 20:00:00",200,-54234.216,"buy",271.17108,"close",-162.2160000000008,762.3399999999965,"stop_loss"
"2021-02-20 07:00:00",200,54200.0,"sell",271.0,"close",0,54962.34,"strategy"
"2021-02-20 14:00:00",200,-54054.0,"buy",270.27,"close",146.00000000000364,908.3399999999965,"strategy"
"2021-02-20 15:00:00",200,-54117.99999999999,"buy",270.59,"close",0,-53209.659999999996,"strategy"
"2021-02-20 17:00:00",200,54024.0,"sell",270.12,"close",-93.99999999999409,814.3400000000038,"strategy"
"2021-02-20 18:00:00",200,-54088.0,"buy",270.44,"close",0,-53273.659999999996,"strategy"
"2021-02-20 19:00:00",200,54082.00000000001,"sell",270.41,"close",-5.999999999994543,808.3400000000111,"strategy"
"2021-02-20 20:00:00",200,54084.0,"sell",270.42,"close",0,54892.34000000001,"strategy"
"2021-02-22 10:00:00",200,-54076.0,"buy",270.38,"close",8.000000000004093,816.3400000000111,"strategy"
"2021-02-22 11:00:00",200,-54176.0,"buy",270.88,"close",0,-53359.65999999999,"strategy"
"2021-02-22 11:00:00",200,54013.472,"sell",270.06736,"close",-162.52799999999752,653.8120000000126,"stop_loss"
"2021-02-22 12:00:00",200,-54086.0,"buy",270.43,"close",0,-53432.18799999999,"strategy"
"2021-02-22 13:00:00",200,54044.00000000001,"sell",270.22,"close",-41.99999999999591,611.8120000000199,"strategy"
"2021-02-22 14:00:00",200,-54167.99999999999,"buy",270.84,"close",0,-53556.18799999997,"strategy"
"2021-02-22 20:00:00",200,54720.00000000001,"sell",273.6,"close",552.0000000000095,1163.8120000000345,"strategy"
"2021-02-24 07:00:00",200,54424.0,"sell",272.12,"close",0,55587.812000000034,"strategy"
"2021-02-24 17:00:00",200,-54272.0,"buy",271.36,"close",151.99999999999818,1315.8120000000345,"strategy"
"2021-02-24 18:00:00",200,-54314.0,"buy",271.57,"close",0,-52998.187999999966,"strategy"
"2021-02-25 12:00:00",200,54602.0,"sell",273.01,"close",287.99999999999955,1603.8120000000345,"strategy"
"2021-02-25 13:00:00",200,54514.0,"sell",272.57,"close",0,56117.812000000034,"strategy"
"2021-02-25 14:00:00",200,-54677.541999999994,"buy",273.38770999999997,"close",-163.54199999999537,1440.2700000000405,"stop_loss"
"2021-02-25 15:00:00",200,-55198.0,"buy",275.99,"close",0,-53757.72999999996,"strategy"
"2021-02-25 15:00:00",200,55032.406,"sell",275.16203,"close",-165.5939999999987,1274.6760000000431,"stop_loss"
"2021-02-25 16:00:00",200,-55000.0,"buy",275.0,"close",0,-53725.32399999996,"strategy"
"2021-02-25 16:00:00",200,54835.0,"sell",274.175,"close",-164.99999999999773,1109.6760000000431,"stop_loss"
"2021-02-25 17:00:00",200,54624.0,"sell",273.12,"close",0,55733.67600000004,"strategy"
"2021-02-26 07:00:00",200,-53531.520000000004,"buy",267.6576,"close",1092.4800000000005,2202.156000000039,"take_profit"
"2021-02-26 08:00:00",200,53810.0,"sell",269.05,"close",0,56012.15600000004,"strategy"
